factor,horizon,ic,n_days,abs_ic
mom5,fwd_2d,-0.00392979917192617,784,0.00392979917192617
cs_mom5_rank,fwd_2d,-0.00392979917192617,784,0.00392979917192617
vol40,fwd_2d,0.003825147576966104,774,0.003825147576966104
gap_x_relvol,fwd_3d,0.0037398199777446814,779,0.0037398199777446814
close_low_ret,fwd_2d,-0.003666067735758716,788,0.003666067735758716
dist_ema20,fwd_3d,-0.0033243359239117144,782,0.0033243359239117144
rev5,fwd_2d,0.0033232065146841924,786,0.0033232065146841924
range,fwd_3d,0.00332286785320792,788,0.00332286785320792
cs_range_z,fwd_3d,0.00332286785320792,788,0.00332286785320792
exhaustion_up,fwd_1d,-0.0033114799876269242,781,0.0033114799876269242
exhaustion_down,fwd_1d,-0.003292547799097725,781,0.003292547799097725
gap_x_relvol,fwd_5d,-0.0032033675657864575,777,0.0032033675657864575
vol_accel,fwd_1d,-0.003187543349624802,787,0.003187543349624802
vol20,fwd_1d,-0.003174726473378935,780,0.003174726473378935
gap_range_adj,fwd_2d,0.0031579848067364623,788,0.0031579848067364623
clv,fwd_1d,0.003144808257253292,790,0.003144808257253292
gap_fill_pressure,fwd_2d,0.0029764794492777914,788,0.0029764794492777914
dist_high_60,fwd_2d,0.002899671445881931,770,0.002899671445881931
pressure,fwd_5d,-0.002763736669654152,786,0.002763736669654152
ema_stack_10_20,fwd_2d,0.0026587035862874297,783,0.0026587035862874297
vol_accel,fwd_3d,0.002655510876061966,785,0.002655510876061966
position_in_20d_range,fwd_1d,-0.0025433987691071414,781,0.0025433987691071414
gap_vol_adj,fwd_3d,0.0025330314962273216,783,0.0025330314962273216
body_to_range,fwd_5d,-0.0025027605737651787,786,0.0025027605737651787
gap_vol_adj,fwd_2d,0.002454783318832846,784,0.002454783318832846
ema_stack_10_20,fwd_3d,0.0024418031956880294,782,0.0024418031956880294
ret_autocorr_10,fwd_2d,0.0023945975384638113,780,0.0023945975384638113
dist_ema20,fwd_1d,-0.002317884870484477,784,0.002317884870484477
gap_range_adj,fwd_3d,0.0022709071079731104,787,0.0022709071079731104
range,fwd_2d,0.002177673805400834,789,0.002177673805400834
cs_range_z,fwd_2d,0.002177673805400834,789,0.002177673805400834
position_in_20d_range,fwd_3d,-0.0020636728457665778,779,0.0020636728457665778
range_vol,fwd_5d,0.0019863840112257633,777,0.0019863840112257633
gap_range_adj,fwd_5d,-0.0019400011147094598,785,0.0019400011147094598
dist_ema50,fwd_1d,0.0018782470789949093,776,0.0018782470789949093
rel_volume_5,fwd_5d,-0.0018456423388244724,784,0.0018456423388244724
clv,fwd_2d,0.001705137563897411,789,0.001705137563897411
vol_accel,fwd_2d,-0.0016889257343555167,786,0.0016889257343555167
ret_sign_imbalance_10,fwd_2d,-0.001635089425359565,784,0.001635089425359565
rel_volume_5,fwd_3d,0.0014921909384159515,786,0.0014921909384159515
vol_spike_10_40,fwd_2d,0.0014562087075564885,774,0.0014562087075564885
vol_accel,fwd_5d,0.0014448404193943775,783,0.0014448404193943775
rel_volume_5,fwd_2d,-0.001369316741486936,787,0.001369316741486936
gap_vol_adj,fwd_5d,-0.0013500168461054887,781,0.0013500168461054887
dist_ema20,fwd_2d,-0.0013270968277930243,783,0.0013270968277930243
ema_stack_10_20,fwd_1d,0.0012264102757332297,784,0.0012264102757332297
range_vol,fwd_3d,0.0011469104659502976,779,0.0011469104659502976
ret_sign_imbalance_5,fwd_1d,-0.0011353008910976365,787,0.0011353008910976365
accel_3_1,fwd_1d,0.0010889695889772612,787,0.0010889695889772612
overnight_pressure,fwd_1d,-0.001023857553136105,789,0.001023857553136105
vol_spike_10_40,fwd_5d,0.0010158655406671258,771,0.0010158655406671258
ret_sign_imbalance_5,fwd_2d,-0.0009598223943586362,786,0.0009598223943586362
vol5,fwd_5d,0.0009352257797405023,783,0.0009352257797405023
dist_ema20,fwd_5d,-0.0008966568884646929,780,0.0008966568884646929
range_x_volcomp,fwd_5d,0.0008834211857897621,776,0.0008834211857897621
accel_5_3,fwd_2d,0.0008250635177810536,784,0.0008250635177810536
vol_spike_10_40,fwd_3d,-0.000804530093135818,773,0.000804530093135818
overnight_pressure,fwd_5d,-0.0007603183460870633,785,0.0007603183460870633
position_in_20d_range,fwd_2d,-0.000745202038610848,780,0.000745202038610848
position_in_20d_range,fwd_5d,-0.000693722489784287,777,0.000693722489784287
dist_low_60,fwd_1d,0.0006710196838503221,771,0.0006710196838503221
vol5,fwd_2d,0.0005913477625450821,786,0.0005913477625450821
dist_low_20,fwd_1d,-0.0005344255983300599,781,0.0005344255983300599
vol5,fwd_3d,-0.0004321851388266528,785,0.0004321851388266528
close_low_ret,fwd_5d,-0.00039760310179417076,785,0.00039760310179417076
gap_ret,fwd_5d,-0.00036432521247109565,785,0.00036432521247109565
cs_gap_z,fwd_5d,-0.0003643252124710954,786,0.0003643252124710954
upper_wick,fwd_5d,0.00030145397486577066,786,0.00030145397486577066
range_x_volcomp,fwd_3d,-0.0002895936722870096,778,0.0002895936722870096
range_vol,fwd_2d,0.00026986000380233575,780,0.00026986000380233575
close_low_ret,fwd_3d,0.00012263850012145356,787,0.00012263850012145356
range_x_volcomp,fwd_2d,4.965685179493452e-05,779,4.965685179493452e-05
breadth_up,fwd_1d,,790,
breadth_up,fwd_2d,,789,
breadth_up,fwd_3d,,788,
breadth_up,fwd_5d,,786,
breadth_down,fwd_1d,,790,
breadth_down,fwd_2d,,789,
breadth_down,fwd_3d,,788,
breadth_down,fwd_5d,,786,
breadth_thrust,fwd_1d,,790,
breadth_thrust,fwd_2d,,789,
breadth_thrust,fwd_3d,,788,
breadth_thrust,fwd_5d,,786,
